name,stage,seed,task,motion_files,run_dir,checkpoint,play_video_no_terminations,play_video_normal,error_anchor_pos,error_anchor_rot,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,termination_frequency,manual_completeness,manual_jitter,manual_fall,manual_edge_jump,manual_early_done,notes
E1_baseline_raw_kick_10s_current,smoke,1001,Tracking-Flat-T800-Exp-Current10s-v0,data/npz/kick_Turn_50hz.npz,,,,,,,,,,,,,,,,,return_code=0
E2_edge_hold_kick_3p2s_current,smoke,1002,Tracking-Flat-T800-Exp-Current3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,,,,,,,,,,,,,,,,,return_code=0
E3_edge_hold_kick_3p2s_relaxed_done,smoke,1003,Tracking-Flat-T800-Exp-RelaxedDone3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,,,,,,,,,,,,,,,,,return_code=0
E4_edge_hold_kick_3p2s_relaxed_done_low_vel_reward,smoke,1004,Tracking-Flat-T800-Exp-RelaxedDoneLowVel3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,,,,,,,,,,,,,,,,,return_code=0
E5_multispeed_kick_3p2s_relaxed_done_low_vel_reward,smoke,1005,Tracking-Flat-T800-Exp-RelaxedDoneLowVel3p2s-v0,"data/speed_augmented_npz/kick_Turn_50hz_edge_hold_3p2s_speed_0p75.npz,data/speed_augmented_npz/kick_Turn_50hz_edge_hold_3p2s_speed_1p00.npz,data/speed_augmented_npz/kick_Turn_50hz_edge_hold_3p2s_speed_1p25.npz",,,,,,,,,,,,,,,,,return_code=0
E6_multimotion_relaxed_done_low_vel_reward,smoke,1006,Tracking-Flat-T800-Exp-RelaxedDoneLowVel3p2s-v0,"data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,data/augmented_npz/victory_50hz_edge_hold_3p2s.npz,data/augmented_npz/Punch_Swing_L_50hz_edge_hold_3p2s.npz,data/augmented_npz/riot_combo_50hz_edge_hold_3p2s.npz",,,,,,,,,,,,,,,,,return_code=0
E1_baseline_raw_kick_10s_current,full,1001,Tracking-Flat-T800-Exp-Current10s-v0,data/npz/kick_Turn_50hz.npz,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-04-30_21-37-14_E1_baseline_raw_kick_10s_current,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-04-30_21-37-14_E1_baseline_raw_kick_10s_current/model_4999.pt,,,,,,,,,,,,,,,return_code=0
E2_edge_hold_kick_3p2s_current,full,1002,Tracking-Flat-T800-Exp-Current3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-04-30_23-40-02_E2_edge_hold_kick_3p2s_current,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-04-30_23-40-02_E2_edge_hold_kick_3p2s_current/model_4999.pt,,,,,,,,,,,,,,,return_code=0
E3_edge_hold_kick_3p2s_relaxed_done,full,1003,Tracking-Flat-T800-Exp-RelaxedDone3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-05-01_01-47-29_E3_edge_hold_kick_3p2s_relaxed_done,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-05-01_01-47-29_E3_edge_hold_kick_3p2s_relaxed_done/model_4999.pt,,,,,,,,,,,,,,,return_code=0
E4_edge_hold_kick_3p2s_relaxed_done_low_vel_reward,full,1004,Tracking-Flat-T800-Exp-RelaxedDoneLowVel3p2s-v0,data/augmented_npz/kick_Turn_50hz_edge_hold_3p2s.npz,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-05-01_03-53-19_E4_edge_hold_kick_3p2s_relaxed_done_low_vel_reward,/home/ls/URKL/3_train_script/whole_body_tracking_engineai_release_04_13/logs/rsl_rl/single_motion_optimization/2026-05-01_03-53-19_E4_edge_hold_kick_3p2s_relaxed_done_low_vel_reward/model_4999.pt,,,,,,,,,,,,,,,return_code=0
